id, name, address, zip_code, city, state
502, Fuel Charleston, 211 Rutledge Avenue, 29403-5822, Charleston, SC
503, Tattooed Moose, 1137 Morrison Drive, 29403, Charleston, SC
504, Perfectly Frank's, 118 North Main Street, 29483, Summerville, SC
505, Dixie Supply Bakery and Cafe, 62 State Street, 29401, Charleston, SC
506, Galway Bay, 63 Maryland Ave, 21401, Annapolis, MD
507, Joe Squared, 133 West North Avenue, 21201, Baltimore, MD
508, Sip and Bite Restaurant, 2200 Boston Street, 21231, Baltimore, MD
509, Boulevard Diner, 1660 Merritt Boulevard, 21222, Dundalk, MD
510, R and R Taqueria, 7894 Washington Blvd, 21075, Elkridge, MD
511, Supino Pizzeria, 2457 Russell Street, 48207, Detroit, MI
512, Rigoletto Italian Bakery and Cafe, 2181 Upton Drive #414, 23454, Virginia Beach, VA
513, Leaping Lizards Cafe, 4408 Shore Drive, 23455, Virginia Beach, VA
514, Danny's All American Diner, 4406 N Falkenburg Road, 33610, Tampa, FL
515, Webberville Brewery and Pub CLOSED, 1093 Highview Drive, 48892, Webberville, MI
516, Jethro's Fine Grub, 3420 Dunbar Street, V6S 2C2, Vancouver, BC
517, Traffic Jam and Snug, 511 W. Canfield Street, 48201, Detroit, MI
518, Smalley's Caribbean Barbeque, 423 Main Street South, 55082, Stillwater, MN
519, Maple and Motor, 4810 Maple Avenue, 75219, Dallas, TX
520, Pecan Lodge, 2702 MAIN STREET, 75226, Dallas, TX
521, Chop House Burgers, 1700 W. Park Row Drive #116, 76013, Arlington, TX
522, Lito's Take Out, 514 E Haley Street, 93103, Santa Barbara, CA
523, Cane Rosso, 2612 Commerce Street, 75226, Dallas, TX
524, Mac's Fish and Chips, 503 State Street, 93101, Santa Barbara, CA
525, The Kitchen, 529 South A Street, 93030, Oxnard, CA
526, Nye's Polonaise, 112 East Hennepin Avenue, 55414, Minneapolis, MN
527, Sidecar, 560 5th Avenue, 11215, Brooklyn, NY
528, Nortons Pastrami, 18 West Figueroa Street, 93101, Santa Barbara, CA
529, Meat and Bread, 370 Cambie Street, , Vancouver, BC
530, Defonte's of Brooklyn, 379 Columbia Street, 11231, Brooklyn, NY
531, Smack Shack, 1029 Marshall Street NE, 55413, Minneapolis, MN
532, Savoy Cafe and Deli, 24 W. Figueroa Street, 93101, Santa Barbara, CA
533, Pepe's and Mito's, 2911 Elm Street, 75226, Dallas, TX
534, Pizzeria Lola, 5557 Xerxes Ave. S, 55410, Minneapolis, MN
535, Monument Cafe, 500 S Austin Avenue, 78627, Georgetown, TX
536, Luke's Inside Out, 1109 South Lamar Boulevard, 78704, Austin, TX
537, Broders' Pasta Bar, 5000 Penn Avenue South, 55410, Minneapolis, MN
538, Broders Cucina Italiana, 2308 West 50th Street, 55410, Minneapolis, MN
539, Pete's Breakfast House Restaurant, 2055 E Main Street, 93001, Ventura, CA
540, Lola's Louisiana Kitchen, 241 W. Charleston, 89201, Las Vegas, NV
541, Marla's Carribean Cuisine, 3761 Bloomington Ave, 55407, Minneapolis, MN
542, Counter Cafe, 626 North Lamar Boulevard, 78703, Austin, TX
543, Cutty Foods, 284 Washington Street, 02445, Brookline, MA
544, Johnny Garlics Dublin, 4920 Dublin Boulevard Ste 265, 94568, Dublin, CA
545, Johnny Garlics San Jose CA, 101 Curtner Ave, 95125, San Jose, CA
546, Italian Express Pizzeria, 336 Sumner Street East, 02128, Boston, MA
547, Angelas Cafe Restaurant, 131 Lexington Street East, 02128, Boston, MA
548, John Mull's Meats and Road Kill Grill, 3730 Thom Blvd, 89130, Las Vegas, NV
549, Noble Pig Austin, 12233 620 N, 78750, Austin, TX
550, Moondoggies Bar and Naked City Pizza, 3240 Arville Street, 89102, Las Vegas, NV
551, Forte European Tapas Bar and Bistro, 4180 South Rainbow Boulevard, 89103, Las Vegas, NV
552, Anthonino's Taverna, 2225 Macklind Avenue, 63110, St. Louis, MO
553, The Shaved Duck, 2900 Virginia Avenue, 63118, St. Louis, MO
554, Hwy 61 Roadhouse, 34 South Old Orchard Avenue, 63119, Webster Groves, MO
555, Dressel's Public House, 419 N Euclid Avenue, 63108, St. Louis, MO
556, Bachi Burger, 470 E. Windmill Lane, 89123, Las Vegas, NV
557, Afrah, 314 E.Main Street, 75081, Richardson, TX
558, Taste of Europe Restaurant Russian, 1901 West Pioneer Parkway, 76013, Arlington, TX
559, Foreign and Domestic, 306 E. 53rd Street, 78751, Austin, TX
560, Hopleaf Bar, 5148 North Clark Street, 60640, Chicago, IL
561, Jawaiian Irie Jerk Restaurant, 1137 Eleventh Ave, 96816, Honolulu, HI
562, Yayo Taco is CLOSED, 4632 S. Maryland Pkwy #18, 89119, Las Vegas, NV
563, Boston Burger Company, 37 Davis Square, 02144, Somerville, MA
564, Weeping Radish Farm, 6810 Caratoke Hwy., 27939, Grandy, NC
565, Tortugas Lie, 3016 South Virginia Dare Trail, 27959, Nags Head, NC
566, Memphis Street Cafe, 2476 Memphis Street, 38632, Hernando, MS
567, Chicago Brauhaus, 4732 N Lincoln Ave, 60625, Chicago, IL
568, Camilles on Wheels Food Truck, , 96814, Kailua, HI
569, Ortegaz Southwestern Grill and Wine Bar, 201 Sir Walter Raleigh Street, 27954, Manteo, NC
570, Heeia Kea Pier General Store and Deli, 46-499 Kamehameha HWY., 96744, Kaneohe, HI
571, REX Italian Foods, 4431 N Harlem Ave, 60706, Norridge, IL
572, bopNgrill, 6604 N Sheridan Road, 60626, Chicago, IL
573, Sweet Home Waimanalo, 41-1025 Kalanianaole Highway, 96795, Waimanalo, HI
574, Davis' Pub, 400 Chester Aveune, 21403, Annapolis, MD
575, Rizzos Diner, 106 G.E. Patterson, 38103, Memphis, TN
576, 90 Miles Cuban Cafe, 3101 N. Clybourn, 60618, Chicago, IL
577, Byblos Mediterranean Cafe, 223 North Clinton Street, 13202, Syracuse, NY
578, Memphis BBQ Co., 709 Desoto Cove, 38637, Horn Lake, MS
579, Evas European Sweets, 1305 Milton Avenue, 13204, Syracuse, NY
580, Empire Brewing Company, 120 Walton Street, 13202, Syracuse, NY
581, Funk N Waffles, 727 South Crouse Avenue, 13210, Syracuse, NY
582, Pastabilities, 311 South Franklin Street, 13202, Syracuse, NY
583, Kitty Hoynes, 301 West Fayette Street, 13202, Syracuse, NY
584, Guys American Kitchen and Bar, 220 W 44th Street, 10036, New York, NY
585, Brine and Bottle, 7531 S Virginia Dare Trail, 27959, Nags Head, NC
586, Outer Banks Brewing Station, 600 South Croatan Highway, 27948, Kill Devil Hills, NC
587, Patti's Pierogis, 1019 S Main Street, 02724, Fall River, MA
588, Tupelo, 1193 Cambridge Street, 02139, Cambridge, MA
589, Angelos Civita Farnese Restaurant, 141 Atwells Ave, 02903, Providence, RI
590, Mediterraneo Caffe, 134 Atwells Avenue, 02903, Providence, RI
591, South of Beale, 361 South Main Street, 38103, Memphis, TN
592, Big Wave Shrimp, 66-521 Kamehameha Hwy, 96712, Haleiwa, HI
593, Anthonys Seafood, 963 Aquidneck Avenue, 02842, Middletown, RI
594, Guerrilla Street Food Truck, , , St. Louis, MO
595, Fresh Catch Kaneohe, 45-1118 Kamehameha Hwy, 96744, Kaneohe, HI
596, The Elegant Farmer, 262 S Highland Street, 38111, Memphis, TN
597, Italian Corner, 10 Boyd Avenue, 02914, East Providence, RI
598, Johnny's BBQ, 5959 Broadmoor, 66201, Mission, KS
599, Three Angels Diner, 2617 Broad Ave, 38112, Memphis, TN
600, Opal Thai Food, 66-460 Kamehameha Hwy, 96712, Haleiwa, HI
601, Aunt Carries Seafood Restaurant, 1240 Ocean Road, 02882, Narragansett, RI
602, Edgewood Cafe, 1864 Broad Street, 02905, Cranston, RI
603, Yankee Lobster Fish Market, 300 Northern Avenue, 02210, Boston, MA
604, Espinos Mexican Bar & Grill, 17409 Chesterfield Airport Road, 63005, Chesterfield, MO
605, Hey Meatball, 719 College Street, M6G 1C2, Toronto, ON
606, Caplansky's Delicatessen, 356 College Street, M5T 1S6, Toronto, ON
607, Rosedale Diner, 1164 Yonge Street, M4W 2L9, Toronto, ON
608, Chili Johns, 2018 West Burbank Boulevard, 91506, Burbank, CA
609, , 2018 West Burbank Boulevard, , ,
610, La Isla Restaurant, 104 Washington Street, 07030, Hoboken, NJ
611, Coastal Cravings, 1209 Duck Road, 27949, Duck, NC
612, The Smoke Joint, 87 S Elliott Place, 11217, Brooklyn, NY
613, Jimmy's Diner, 577 Union Ave, 11211, Brooklyn, NY
614, Darbys Cafe, 211 5th Ave SE, 98501, Olympia, WA
615, Marie's Italian Specialties, 641 Shunpike Rd, 07928, Chatham, NJ
616, Bruno's European Restaurant, 10716 A Street South, 98444, Tacoma, WA
617, , 10716 A Street South, , ,
618, , 10716 A Street South, , ,
619, , 10716 A Street South, , ,
620, , 10716 A Street South, , ,
621, , 10716 A Street South, , ,
622, , 10716 A Street South, , ,
623, , 10716 A Street South, , ,
624, Pies n Thighs, 166 South 4th Street, 11211, Brooklyn, NY
625, The Ace Toronto, 231 Roncesvalles Avenue, M6R 2L6, Toronto, ON
626, The Lakeview Restaurant, 1132 Dundas Street West, M6J 2Y2, Toronto, ON
627, The Stockyards Smokehouse and Larder, 699 Saint Clair Avenue West, M6C 1B2, Toronto, ON
628, Crown Bar, 2705 6th Avenue, 98405, Tacoma, WA
629, The Golden State Cafe, 426 North Fairfax Avenue, 90036, Los Angeles, CA
630, Beer Belly, 532 South Western Avenue, 90020, Los Angeles, CA
631, Chomp Chomp Nation (Food Truck), , 92612, Irvine, CA
632, Dirty Oscars Annex, 2309 6th Avenue, 98403, Tacoma, WA
633, Highland Tavern, 3400 Navajo Street, 80211, Denver, CO
634, Sidecar Bar and Grille, 2201 Christian Street, 19146, Philadelphia, PA
635, Perk Eatery, 6501 East Greenway Parkway, 85254, Scottsdale, AZ
636, Atomic Cowboy, 3237 East Colfax Avenue, 80206, Denver, CO
637, South Philadelphia Tap Room, 1509 Mifflin Street, 19145, Philadelphia, PA
638, St. Francis, 111 East Camelback Road, 85012, Phoenix, AZ
639, Barrio Cafe, 2814 N 16th Street, 85006, Phoenix, AZ
640, Nopalito on 9th, 1224 9th Avenue, 94122, San Francisco, CA
641, Percy Street Barbecue, 900 South Street, 19147, Philadelphia, PA
642, Hops and Pie, 3920 Tennyson Street, 80212, Denver, CO
643, Bludso's BBQ, 811 South Long Beach Boulevard, 90221, Compton, CA
644, Curry Corner, 1212 East Apache Boulevard, 85281, Tempe, AZ
645, Prohibition, 504 East Colfax Avenue, 80220, Denver, CO
646, Standard Tap, 901 North 2nd Street, 19123, North Philadelphia, PA
647, Cora Fayes Cafe, 2861 Colorado Boulevard, 80207, Denver, CO
648, DeFalco's Italian Deli, 2334 Scottsdale Oak Plaza Shopping Center, 85257, Scottsdale, AZ
649, The Jamaican Jerk Hut, 1436 South Street, 19146, Philadelphia, PA
650, Black Pelican Seafood Company, 3848 North Virginia Dare Trail, 27949, Kitty Hawk, NC
651, Geechee Girl Rice Cafe, 6825 Germantown Avenue, 19119, Philadelphia, PA
652, The Duce, 525 South Central Avenue, 85004, Downtown Phoenix, AZ
653, Haggo's Organic Taco, 1114 North Coast Highway 101, 92024, Encinitas, CA
654, The Parks Finest BBQ, 1267 West Temple Street, 90026, Central LA, CA
655, Eastside Market Italian Deli, 1013 Alpine Street, 90012, Los Angeles, CA
656, Crockett's Public House, 118 East Stewart Avenue, 98372, Puyallup, WA
657, Fish Tale Brewpub, 515 Jefferson Street Southeast, 98501, Olympia, WA
658, ob noodle house, 2218 Cable Street, 92107, Ocean Beach, CA
659, Shirley's Tippy Canoe, 28242 Historic Columbia River Highway, 97060, Troutdale, OR
660, Spiritos Italian Diner, 2508 South El Camino Real, 92008, Carlsbad, CA
661, Nopalito on broderick, 306 Broderick Street, 94117, San Francisco, CA
662, Pica Pica Maize Kitchen, 401 Valencia Street, 94103, San Francisco, CA
663, Edelweiss Sausage & Delicatessen, 3119 Southeast 12th Avenue, 97202, Portland, OR
664, Crest Cafe, 425 Robinson Avenue, 92103, San Diego, CA
665, Show Dogs, 1020 Market Street, 94102, San Francisco, CA
666, Industrial Cafe & Saloon, 2572 Northwest Vaughn Street, 97210, Portland, OR
667, The Refuge, 963 Laurel Street, 94070, San Carlos, CA
668, The Country Cat, 7937 Southeast Stark Street, 97215, Portland, OR
669, Millers East Coast Deli, 1725 Polk Street, 94109, San Francisco, CA
670, Koja Kitchen Food Truck, , 94123, San Francisco, CA
671, The Front Porch, 65a 29th Street, 94110, San Francisco, CA
672, Senor Sisig Food Truck, 94115 San Francisco, 94115, San Francisco, CA
673, A Taste of Home Cooking, 12365 West 58th Avenue, 80002, Arvada, CO
674, PDX Six Seven One Food Truck, NE 52nd Ave & NE Sandy Blvd, 97213, Portland, OR
675, Golden Crown Panaderia, 1103 Mountain Road Northwest, 87102, Albuquerque, NM
676, Casa Chimayo, 409 West Water Street, 87501, Santa Fe, NM
677, Torinos at Home, 7600 Jefferson Street Northeast, 87109, Albuquerque, NM
678, Frank's Noodle House, 822 Northeast Broadway Street, 97232, Portland, OR
679, Bocadillos, 1609 Indian School Road Northwest, 87104, Albuquerque, NM
680, Jambo Cafe New Mexico, 2010 Cerrillos Road, 87505, Santa Fe, NM
681, Danny Edward's Blvd BBQ, 2900 Southwest Boulevard, 64108, Kansas City, MO
682, Back Street Bistro, 513 Camino De Los Marquez, 87505, Santa Fe, NM
683, Succotash, 2601 Holmes Street, 64108, Kansas City, MO
684, Cupinis, 1809 Westport Road, 64111, Kansas City, MO
685, The Cube BBQ, 1520 Central Avenue Southeast, 87123, Albuquerque, NM
686, Nexus Brewery and Restaurant, 4730 Pan American Freeway, 87109, Albuquerque, NM
687, B.B.'s Lawn Side Bar B-Q, 1205 East 85th Street, 64131, Kansas City, MO
688, The Tin Shed Garden Cafe, 1438 Northeast Alberta Street, 97211, Portland, OR
689, Asi y Asado, , , Cabo San Lucas, BS
690, Soloman's Landing Restaurant, , , Cabo San Lucas, BS
691, , , , ,
692, Tiki Bar, , , Cabo San Lucas, BS
693, , , , ,
694, 55 South, 403 Main Street, 37064, Franklin, TN
695, Potpie, 904 Westport Road, 64111, Kansas City, MO
696, Phat Bites, 940 Allen Road, 37214, Nashville, TN
697, Cafe Nonna, 4427 Murphy Road, 37209, Nashville, TN
698, Blue Koi, 10581 Mission Road, 66206, Leawood, KS
699, The Grilled Cheeserie Food Truck, , , Tennessee, TN
700, Hotel Ivanhoe, 315 Main Street, 95536, Ferndale, CA
701, Ferndale Meat Co., 376 Main Street, 95536, Ferndale, CA
702, Clendenens Cider, 96 12th Street, 95540, Fortuna, CA
703, Clendenens Cider Works, 96 12th Street, 95540, Fortuna, CA
704, Loleta Cheese Factory, 252 Loleta Drive, 95551, Loleta, CA
705, Humboldt Sweets, 399 Main Street, 95536, Ferndale, CA
706, Blue Collar, 6730 Biscayne Boulevard, 33138, Miami, FL
707, The Federal, 5132 Biscayne Boulevard, 33137, Miami, FL
708, Latin House Burger & Taco Bar, 9565 Sunset Drive, 33173, Miami, FL
709, Sakaya Kitchen, 3401 N Miami Ave, 33127, Miami, FL
710, Dj's Clam Shack, 629 Duval Street, 33040, Key West, FL
711, Garbo's Grill, 603 Greene Street, 33040, Key West, FL
712, Bad Boy Burrito, 1220 1/2 Simonton Street, 33040, Key West, FL
713, Brick and Fire Bistro, 1630 F Street, 95501, Eureka, CA
714, Brindle Room, 277 East 10th Street, 10009, New York, NY
715, Black Tree, 131 Orchard Street, 10002, New York, NY
716, Bunker Vietnamese, 46-63 Metropolitan Avenue, 11385, Ridgewood, NY
717, Pauls Live From New York, 604 F Street, 95501, Eureka, CA
718, Queens Comfort, 40-09 30th Avenue, 11103, Astoria, NY
719, Sammy's Bistro, 1890 Bonanza Drive, 84060, Park City, UT
720, Silver Star Cafe, 1825 3 Kings Drive, 84060, Park City, UT
721, Maxwell's in Salt Lake City, 357 South Main Street, 84111, Salt Lake City, UT
722, Cafe Nooner, 409 Opera Alley, 95501, Eureka, CA
723, Ducks Eatery, 351 East 12th Street, 10003, East Village, NY
724, Whisk Gourmet Food, 7382 Southwest 56th Avenue, 33143, Miami, FL
725, Tin Roof Grill, 9284 South 700 East, 84070, Sandy, UT
726, The Alley Restaurant at Aiea Bowl, 99-115 Aiea Heights Drive, 96701, Aiea, HI
727, Loulou's Griddle in the Middle, Municipal Wharf 2 Monterey, 93940, Monterey, CA
728, Fat Sal's, 1300 North Highland Avenue, 90028, Los Angeles, CA
729, Elena’s Home of Finest Filipino Foods, 94-866 Moloalo Street, 96797, Waipahu, HI
730, Aristo's Greek Restaurant & Cafe, 224 South 1300 East, 84102, Salt Lake City, UT
731, Oh Mai Sandwich, 3425 South State Street, 84115, Salt Lake City, UT
732, Boots & Kimo's Homestyle Kitchen, 151 Hekili Street, 96734, Kailua, HI
733, Dean's Drive Inn, 45-773 Kamehameha Highway, 96744, Kaneohe, HI
734, Uahi Island Grill, 131 Hekili Street, 96734, Kailua, HI
735, Tamarindo Food Truck, , 92656, Orange County, CA
736, Mike’s Huli Huli, 47 Kamehameha Highway, 96744, Kaneohe, HI
737, Taste of Belgium, 1135 Vine Street, 45202, Cincinnati, OH
738, Bakersfield OTR, 1213 Vine Street, 45202, Cincinnati, OH
739, Senate Restaurant, 1212 Vine Street, 45202, Cincinnati, OH
740, Rutts Hawaiian Cafe & Catering, 12114 West Washington Boulevard, 90066, Los Angeles, CA
741, Sabroso! Mexican Grill, 13129 Harbor Boulevard, 92843, Garden Grove, CA
742, Monterey's Fish House, 2114 Del Monte Avenue, 93940, Monterey, CA
743, Rosine's Restaurant, 434 Alvarado Street, 93940, Monterey, CA
744, Sidewinders American Grill, 945 West Broadway, 83001, Jackson, WY
745, Blunch, 59 East Springfield Street, 02118, Boston, MA